,0
rolling_vol_20d,3084
nifty_vol_20d,2782
nifty_vs_sma200,2759
nifty_ret_20d,2172
universe_breadth_20d,1888
universe_breadth_50d,1851
high_52w_proximity,1839
nifty_ret_5d,1784
nifty_vs_ema50,1712
atr_pct,1519
bb_bandwidth,1443
nifty_vs_ema20,1420
atr_pct_rank,1270
macd_signal,1261
macd_line,1097
macd_histogram_lag5,1083
obv_vs_ma20,1054
adx_14_lag5,857
cmf_20_lag5,829
obv_ret_5d,826
macd_histogram_rank,770
close_vs_sma50,766
macd_histogram_lag3,749
di_diff,735
macd_histogram,678
range_pct,674
cmf_20_lag3,659
adx_14,613
cmf_20_rank,599
adx_14_lag3,593
close_vs_supertrend,585
log_ret_1d,577
stochrsi_d,568
rsi_14_lag5,567
cmf_20,567
body_ratio,553
upper_shadow,550
macd_histogram_lag2,549
macd_histogram_lag1,546
adx_14_lag1,533
log_ret_20d_rank,530
cmf_20_lag1,523
log_ret_20d,519
volume_ratio_20d,513
stoch_d,511
cmf_20_lag2,502
lower_shadow,495
rsi_14_rank,486
volume_ratio_20d_lag1,476
volume_ratio_20d_lag5,474
stoch_kd_diff,469
volume_ratio_20d_lag2,469
adx_14_lag2,466
volume_ratio_20d_lag3,458
stochrsi_kd_diff,434
log_ret_5d_rank,413
stochrsi_k,412
volume_ratio_20d_rank,412
rsi_14_lag3,405
log_ret_10d,402
stoch_k,399
bb_pct_b,396
log_ret_1d_lag1,379
log_ret_1d_lag5,373
log_ret_1d_lag2,348
log_ret_1d_lag3,328
rsi_14,325
rsi_14_lag2,319
log_ret_5d,318
days_since_bull_xover,312
close_vs_ema9,297
rsi_14_lag1,280
close_vs_sma20,268
days_since_bear_xover,227
nifty_high_vol_flag,216
close_vs_ema21,186
close_vs_ema20,159
supertrend_dir_enc,16
