,0
rolling_vol_20d,2626
nifty_vol_20d,2122
nifty_vs_sma200,1606
nifty_ret_20d,1553
atr_pct,1435
universe_breadth_50d,1435
high_52w_proximity,1373
bb_bandwidth,1285
nifty_ret_5d,1253
universe_breadth_20d,1238
nifty_vs_ema50,1169
macd_signal,1167
atr_pct_rank,1149
macd_line,1079
macd_histogram_lag5,1007
nifty_vs_ema20,990
obv_vs_ma20,962
cmf_20_lag5,952
adx_14_lag5,867
close_vs_sma50,751
di_diff,749
adx_14,695
obv_ret_5d,679
macd_histogram_lag3,679
macd_histogram,641
cmf_20_lag3,611
adx_14_lag3,610
cmf_20,596
close_vs_supertrend,585
range_pct,579
macd_histogram_rank,576
cmf_20_rank,564
cmf_20_lag1,559
stochrsi_d,556
macd_histogram_lag2,543
lower_shadow,534
log_ret_20d,532
rsi_14_lag5,516
macd_histogram_lag1,512
adx_14_lag2,504
adx_14_lag1,500
log_ret_1d,497
cmf_20_lag2,493
volume_ratio_20d_lag5,492
stochrsi_k,475
body_ratio,474
volume_ratio_20d,471
stoch_d,464
volume_ratio_20d_lag1,462
rsi_14_rank,460
upper_shadow,456
bb_pct_b,448
log_ret_20d_rank,444
stochrsi_kd_diff,430
stoch_kd_diff,421
stoch_k,416
volume_ratio_20d_lag2,407
volume_ratio_20d_lag3,400
log_ret_5d_rank,395
rsi_14_lag3,381
volume_ratio_20d_rank,365
rsi_14,361
log_ret_10d,353
rsi_14_lag2,349
log_ret_1d_lag5,338
log_ret_1d_lag1,316
log_ret_1d_lag3,308
rsi_14_lag1,286
log_ret_1d_lag2,281
days_since_bull_xover,274
days_since_bear_xover,261
log_ret_5d,260
close_vs_ema9,224
close_vs_sma20,208
nifty_high_vol_flag,171
close_vs_ema21,152
close_vs_ema20,143
supertrend_dir_enc,12
