,0
rolling_vol_20d,2784
nifty_vol_20d,2444
nifty_vs_sma200,2072
nifty_ret_20d,1842
universe_breadth_50d,1574
high_52w_proximity,1501
nifty_ret_5d,1501
universe_breadth_20d,1496
atr_pct,1468
nifty_vs_ema50,1410
bb_bandwidth,1235
macd_signal,1233
atr_pct_rank,1187
nifty_vs_ema20,1167
macd_line,1081
macd_histogram_lag5,1019
obv_vs_ma20,1019
cmf_20_lag5,868
adx_14_lag5,840
obv_ret_5d,774
close_vs_sma50,735
di_diff,726
macd_histogram_rank,710
macd_histogram_lag3,669
close_vs_supertrend,659
macd_histogram,621
range_pct,617
cmf_20_lag3,613
adx_14_lag3,609
adx_14,604
body_ratio,589
stochrsi_d,573
cmf_20_rank,564
lower_shadow,549
cmf_20,542
log_ret_1d,537
cmf_20_lag1,524
upper_shadow,519
log_ret_20d,516
macd_histogram_lag1,503
macd_histogram_lag2,498
volume_ratio_20d_lag5,491
cmf_20_lag2,491
stoch_d,479
rsi_14_lag5,479
stochrsi_k,471
adx_14_lag1,466
volume_ratio_20d,466
volume_ratio_20d_lag3,464
stochrsi_kd_diff,462
log_ret_20d_rank,461
stoch_kd_diff,456
volume_ratio_20d_lag1,449
bb_pct_b,448
log_ret_5d_rank,442
rsi_14_rank,440
volume_ratio_20d_lag2,433
adx_14_lag2,429
rsi_14_lag3,415
volume_ratio_20d_rank,410
stoch_k,408
log_ret_1d_lag5,375
log_ret_1d_lag1,368
log_ret_10d,361
log_ret_1d_lag2,340
log_ret_1d_lag3,336
rsi_14_lag2,327
rsi_14,320
rsi_14_lag1,304
log_ret_5d,289
days_since_bull_xover,261
close_vs_ema9,251
days_since_bear_xover,244
close_vs_sma20,219
nifty_high_vol_flag,165
close_vs_ema21,154
close_vs_ema20,136
supertrend_dir_enc,15
