,0
rolling_vol_20d,2895
nifty_vs_sma200,2567
nifty_vol_20d,2516
nifty_ret_20d,2063
universe_breadth_50d,1832
universe_breadth_20d,1687
nifty_ret_5d,1660
nifty_vs_ema50,1636
high_52w_proximity,1534
atr_pct,1440
bb_bandwidth,1420
nifty_vs_ema20,1236
macd_signal,1227
atr_pct_rank,1181
macd_line,1121
obv_vs_ma20,1015
macd_histogram_lag5,985
adx_14_lag5,859
cmf_20_lag5,850
macd_histogram_lag3,773
obv_ret_5d,764
macd_histogram_rank,731
macd_histogram,712
close_vs_sma50,711
di_diff,668
adx_14,658
range_pct,645
body_ratio,608
cmf_20_lag3,597
close_vs_supertrend,590
upper_shadow,564
lower_shadow,555
cmf_20,553
cmf_20_rank,543
stochrsi_d,543
adx_14_lag3,527
log_ret_20d,523
log_ret_1d,522
macd_histogram_lag1,522
volume_ratio_20d,515
rsi_14_lag5,514
macd_histogram_lag2,503
log_ret_20d_rank,500
adx_14_lag1,499
stoch_d,495
rsi_14_rank,493
cmf_20_lag2,490
stochrsi_kd_diff,488
cmf_20_lag1,476
stoch_k,475
volume_ratio_20d_lag5,474
stoch_kd_diff,461
stochrsi_k,456
volume_ratio_20d_lag1,454
volume_ratio_20d_lag3,454
rsi_14_lag3,443
volume_ratio_20d_lag2,438
adx_14_lag2,434
log_ret_10d,431
bb_pct_b,427
volume_ratio_20d_rank,419
log_ret_5d_rank,408
log_ret_1d_lag5,393
log_ret_1d_lag1,370
log_ret_1d_lag3,367
rsi_14,353
log_ret_1d_lag2,312
rsi_14_lag2,295
days_since_bull_xover,285
days_since_bear_xover,268
rsi_14_lag1,266
log_ret_5d,265
close_vs_ema9,257
close_vs_sma20,221
nifty_high_vol_flag,199
close_vs_ema21,156
close_vs_ema20,141
supertrend_dir_enc,12
