,0
rolling_vol_20d,3239
nifty_vs_sma200,3223
nifty_vol_20d,3214
nifty_ret_20d,2453
universe_breadth_50d,2347
universe_breadth_20d,2249
nifty_ret_5d,2065
high_52w_proximity,2021
nifty_vs_ema50,1905
nifty_vs_ema20,1780
atr_pct,1553
bb_bandwidth,1432
atr_pct_rank,1362
macd_signal,1350
macd_line,1137
obv_vs_ma20,1119
macd_histogram_lag5,1058
cmf_20_lag5,917
adx_14_lag5,857
obv_ret_5d,790
range_pct,754
macd_histogram_rank,739
macd_histogram,713
di_diff,710
close_vs_sma50,709
macd_histogram_lag3,701
cmf_20_lag3,672
adx_14,630
close_vs_supertrend,627
stoch_kd_diff,582
upper_shadow,580
stochrsi_d,576
lower_shadow,571
cmf_20_rank,564
rsi_14_lag5,563
macd_histogram_lag2,560
cmf_20_lag2,553
cmf_20,552
body_ratio,550
adx_14_lag1,550
adx_14_lag3,546
log_ret_20d,533
log_ret_1d,532
volume_ratio_20d_lag1,519
adx_14_lag2,516
cmf_20_lag1,516
macd_histogram_lag1,508
volume_ratio_20d_lag5,507
volume_ratio_20d,503
rsi_14_lag3,500
volume_ratio_20d_lag3,490
log_ret_20d_rank,486
stochrsi_kd_diff,483
rsi_14_rank,469
stoch_d,463
volume_ratio_20d_lag2,460
stochrsi_k,456
volume_ratio_20d_rank,454
bb_pct_b,427
log_ret_1d_lag1,425
log_ret_5d_rank,397
stoch_k,386
log_ret_1d_lag5,376
rsi_14_lag2,363
rsi_14,362
log_ret_1d_lag3,351
log_ret_1d_lag2,334
log_ret_10d,327
rsi_14_lag1,309
log_ret_5d,300
days_since_bull_xover,300
close_vs_ema9,287
days_since_bear_xover,276
close_vs_sma20,221
close_vs_ema21,174
nifty_high_vol_flag,170
close_vs_ema20,153
supertrend_dir_enc,4
